generation_id,plant_id,generation_date,generated_energy_kwh,expected_energy_kwh,availability_rate,measurement_status,source_updated_at,extracted_at,batch_id
GEN-PLANT-005-2026-03-05,PLANT-005,2026-03-05,16911.7,19840,0.9519,FINAL,2026-03-06T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-006-2026-03-05,PLANT-006,2026-03-05,4827.98,5544,0.931,FINAL,2026-03-06T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-007-2026-03-05,PLANT-007,2026-03-05,7473.05,8272,0.9812,FINAL,2026-03-06T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-008-2026-03-05,PLANT-008,2026-03-05,1868.28,2200,0.9508,FINAL,2026-03-06T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-001-2026-03-06,PLANT-001,2026-03-06,6625.04,6380,0.9807,FINAL,2026-03-07T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-002-2026-03-06,PLANT-002,2026-03-06,9013.23,9240,0.9433,FINAL,2026-03-07T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-003-2026-03-06,PLANT-003,2026-03-06,4171.62,4312,0.9854,FINAL,2026-03-07T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-004-2026-03-06,PLANT-004,2026-03-06,10995.95,10850,0.9604,FINAL,2026-03-07T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-005-2026-03-06,PLANT-005,2026-03-06,19424.13,19840,0.9557,FINAL,2026-03-07T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-006-2026-03-06,PLANT-006,2026-03-06,4969.61,5544,0.9488,FINAL,2026-03-07T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-007-2026-03-06,PLANT-007,2026-03-06,7687.44,8272,0.9852,FINAL,2026-03-07T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-008-2026-03-06,PLANT-008,2026-03-06,2180.1,2200,0.9844,FINAL,2026-03-07T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-001-2026-03-07,PLANT-001,2026-03-07,5529.64,6380,0.9233,FINAL,2026-03-08T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-002-2026-03-07,PLANT-002,2026-03-07,8222.74,9240,0.9462,FINAL,2026-03-08T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-003-2026-03-07,PLANT-003,2026-03-07,4174.91,4312,0.9581,FINAL,2026-03-08T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-004-2026-03-07,PLANT-004,2026-03-07,9205.5,10850,0.9125,FINAL,2026-03-08T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-005-2026-03-07,PLANT-005,2026-03-07,18602.53,19840,0.9627,FINAL,2026-03-08T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-006-2026-03-07,PLANT-006,2026-03-07,5379.56,5544,0.9241,FINAL,2026-03-08T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-007-2026-03-07,PLANT-007,2026-03-07,8111.22,8272,0.942,FINAL,2026-03-08T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-008-2026-03-07,PLANT-008,2026-03-07,1807.32,2200,0.9179,FINAL,2026-03-08T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-001-2026-03-08,PLANT-001,2026-03-08,5559.57,6380,0.9893,FINAL,2026-03-09T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-002-2026-03-08,PLANT-002,2026-03-08,8227.5,9240,0.9866,FINAL,2026-03-09T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-003-2026-03-08,PLANT-003,2026-03-08,4113.93,4312,0.9289,FINAL,2026-03-09T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-004-2026-03-08,PLANT-004,2026-03-08,10394.86,10850,0.9441,FINAL,2026-03-09T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-005-2026-03-08,PLANT-005,2026-03-08,20199.15,19840,0.9786,FINAL,2026-03-09T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-006-2026-03-08,PLANT-006,2026-03-08,5208.93,5544,0.9635,FINAL,2026-03-09T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-007-2026-03-08,PLANT-007,2026-03-08,8402.8,8272,0.9782,FINAL,2026-03-09T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-008-2026-03-08,PLANT-008,2026-03-08,1913.97,2200,0.9449,FINAL,2026-03-09T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-001-2026-03-09,PLANT-001,2026-03-09,6524.31,6380,0.9721,FINAL,2026-03-10T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-002-2026-03-09,PLANT-002,2026-03-09,7947.29,9240,0.9517,FINAL,2026-03-10T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-003-2026-03-09,PLANT-003,2026-03-09,3842.13,4312,0.9438,FINAL,2026-03-10T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-004-2026-03-09,PLANT-004,2026-03-09,10555.89,10850,0.9309,FINAL,2026-03-10T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-005-2026-03-09,PLANT-005,2026-03-09,19011.31,19840,0.9596,FINAL,2026-03-10T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-006-2026-03-09,PLANT-006,2026-03-09,4933.3,5544,0.9618,FINAL,2026-03-10T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-007-2026-03-09,PLANT-007,2026-03-09,7501.41,8272,0.9329,FINAL,2026-03-10T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-008-2026-03-09,PLANT-008,2026-03-09,2219.73,2200,0.9841,FINAL,2026-03-10T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-001-2026-03-10,PLANT-001,2026-03-10,6507.56,6380,0.9719,FINAL,2026-03-11T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-002-2026-03-10,PLANT-002,2026-03-10,8468.65,9240,0.9434,FINAL,2026-03-11T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-003-2026-03-10,PLANT-003,2026-03-10,3612.13,4312,0.9463,FINAL,2026-03-11T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-004-2026-03-10,PLANT-004,2026-03-10,10283.38,10850,0.9393,FINAL,2026-03-11T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-005-2026-03-10,PLANT-005,2026-03-10,16891.1,19840,0.9627,FINAL,2026-03-11T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-006-2026-03-10,PLANT-006,2026-03-10,5357.86,5544,0.9274,FINAL,2026-03-11T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-007-2026-03-10,PLANT-007,2026-03-10,8551.96,8272,0.9897,FINAL,2026-03-11T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-008-2026-03-10,PLANT-008,2026-03-10,1919.04,2200,0.939,FINAL,2026-03-11T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-001-2026-03-11,PLANT-001,2026-03-11,5541.06,6380,0.9186,FINAL,2026-03-12T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-002-2026-03-11,PLANT-002,2026-03-11,8061.16,9240,0.9602,FINAL,2026-03-12T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-003-2026-03-11,PLANT-003,2026-03-11,4479.48,4312,0.9927,FINAL,2026-03-12T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-004-2026-03-11,PLANT-004,2026-03-11,10770.08,10850,0.9741,FINAL,2026-03-12T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-005-2026-03-11,PLANT-005,2026-03-11,17973.79,19840,0.9193,FINAL,2026-03-12T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-006-2026-03-11,PLANT-006,2026-03-11,5243.52,5544,0.9629,FINAL,2026-03-12T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-007-2026-03-11,PLANT-007,2026-03-11,7662.36,8272,0.9148,FINAL,2026-03-12T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-008-2026-03-11,PLANT-008,2026-03-11,2279.22,2200,0.9827,FINAL,2026-03-12T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-001-2026-03-12,PLANT-001,2026-03-12,6311.38,6380,0.9831,FINAL,2026-03-13T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-002-2026-03-12,PLANT-002,2026-03-12,8537.67,9240,0.9351,FINAL,2026-03-13T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-003-2026-03-12,PLANT-003,2026-03-12,4287.44,4312,0.9866,FINAL,2026-03-13T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-004-2026-03-12,PLANT-004,2026-03-12,10250.34,10850,0.9227,FINAL,2026-03-13T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-005-2026-03-12,PLANT-005,2026-03-12,17917.58,19840,0.9438,FINAL,2026-03-13T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-006-2026-03-12,PLANT-006,2026-03-12,5490.45,5544,0.9544,FINAL,2026-03-13T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-007-2026-03-12,PLANT-007,2026-03-12,7126.41,8272,0.9367,FINAL,2026-03-13T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-008-2026-03-12,PLANT-008,2026-03-12,1897.18,2200,0.9137,FINAL,2026-03-13T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-001-2026-03-13,PLANT-001,2026-03-13,5961.6,6380,0.9786,FINAL,2026-03-14T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-002-2026-03-13,PLANT-002,2026-03-13,8225.11,9240,0.9796,FINAL,2026-03-14T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-003-2026-03-13,PLANT-003,2026-03-13,3910.92,4312,0.9496,FINAL,2026-03-14T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-004-2026-03-13,PLANT-004,2026-03-13,8940.93,10850,0.9145,FINAL,2026-03-14T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-005-2026-03-13,PLANT-005,2026-03-13,17271.91,19840,0.9139,FINAL,2026-03-14T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-006-2026-03-13,PLANT-006,2026-03-13,5325.85,5544,0.9322,FINAL,2026-03-14T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-007-2026-03-13,PLANT-007,2026-03-13,8108.34,8272,0.9521,FINAL,2026-03-14T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-008-2026-03-13,PLANT-008,2026-03-13,2123.29,2200,0.9828,FINAL,2026-03-14T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-001-2026-03-14,PLANT-001,2026-03-14,6418.33,6380,0.9594,FINAL,2026-03-15T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-002-2026-03-14,PLANT-002,2026-03-14,8212.75,9240,0.9367,FINAL,2026-03-15T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-003-2026-03-14,PLANT-003,2026-03-14,4278.94,4312,0.9644,FINAL,2026-03-15T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-004-2026-03-14,PLANT-004,2026-03-14,10403.35,10850,0.9234,FINAL,2026-03-15T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-005-2026-03-14,PLANT-005,2026-03-14,17504.45,19840,0.9365,FINAL,2026-03-15T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-006-2026-03-14,PLANT-006,2026-03-14,5556.15,5544,0.9671,FINAL,2026-03-15T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-007-2026-03-14,PLANT-007,2026-03-14,7513.85,8272,0.9817,FINAL,2026-03-15T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-008-2026-03-14,PLANT-008,2026-03-14,1986.55,2200,0.9471,FINAL,2026-03-15T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-001-2026-03-15,PLANT-001,2026-03-15,6168.15,6380,0.9798,FINAL,2026-03-16T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-002-2026-03-15,PLANT-002,2026-03-15,7654.83,9240,0.9355,FINAL,2026-03-16T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-003-2026-03-15,PLANT-003,2026-03-15,4212.46,4312,0.9261,FINAL,2026-03-16T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-004-2026-03-15,PLANT-004,2026-03-15,10435.73,10850,0.9698,FINAL,2026-03-16T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-005-2026-03-15,PLANT-005,2026-03-15,20286.87,19840,0.9933,FINAL,2026-03-16T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-006-2026-03-15,PLANT-006,2026-03-15,5556.52,5544,0.9564,FINAL,2026-03-16T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-007-2026-03-15,PLANT-007,2026-03-15,7671.35,8272,0.9661,FINAL,2026-03-16T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-008-2026-03-15,PLANT-008,2026-03-15,2143.73,2200,0.9409,FINAL,2026-03-16T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-001-2026-03-16,PLANT-001,2026-03-16,6308.23,6380,0.9366,FINAL,2026-03-17T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-002-2026-03-16,PLANT-002,2026-03-16,8742.29,9240,0.9512,FINAL,2026-03-17T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-003-2026-03-16,PLANT-003,2026-03-16,3478.38,4312,0.9106,FINAL,2026-03-17T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-004-2026-03-16,PLANT-004,2026-03-16,9128.21,10850,0.9271,FINAL,2026-03-17T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-005-2026-03-16,PLANT-005,2026-03-16,17945.94,19840,0.923,FINAL,2026-03-17T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-006-2026-03-16,PLANT-006,2026-03-16,5035.11,5544,0.983,FINAL,2026-03-17T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-007-2026-03-16,PLANT-007,2026-03-16,7232.03,8272,0.9276,FINAL,2026-03-17T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-008-2026-03-16,PLANT-008,2026-03-16,2187.8,2200,0.9656,FINAL,2026-03-17T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-001-2026-03-17,PLANT-001,2026-03-17,5621.7,6380,0.9396,FINAL,2026-03-18T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-002-2026-03-17,PLANT-002,2026-03-17,9461.44,9240,0.9904,FINAL,2026-03-18T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-003-2026-03-17,PLANT-003,2026-03-17,3910.02,4312,0.9673,FINAL,2026-03-18T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-004-2026-03-17,PLANT-004,2026-03-17,10328.65,10850,0.9765,FINAL,2026-03-18T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-005-2026-03-17,PLANT-005,2026-03-17,16779.92,19840,0.915,FINAL,2026-03-18T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-006-2026-03-17,PLANT-006,2026-03-17,4876.35,5544,0.9431,FINAL,2026-03-18T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-007-2026-03-17,PLANT-007,2026-03-17,7665.07,8272,0.9289,FINAL,2026-03-18T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-008-2026-03-17,PLANT-008,2026-03-17,1944.41,2200,0.9309,FINAL,2026-03-18T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-001-2026-03-18,PLANT-001,2026-03-18,6091.6,6380,0.9526,FINAL,2026-03-19T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-002-2026-03-18,PLANT-002,2026-03-18,8361.58,9240,0.9107,FINAL,2026-03-19T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-003-2026-03-18,PLANT-003,2026-03-18,3937.05,4312,0.9448,FINAL,2026-03-19T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-004-2026-03-18,PLANT-004,2026-03-18,9317.43,10850,0.9531,FINAL,2026-03-19T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-005-2026-03-18,PLANT-005,2026-03-18,17772.92,19840,0.9175,FINAL,2026-03-19T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-006-2026-03-18,PLANT-006,2026-03-18,4709.33,5544,0.9215,FINAL,2026-03-19T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-007-2026-03-18,PLANT-007,2026-03-18,7280.6,8272,0.946,FINAL,2026-03-19T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-008-2026-03-18,PLANT-008,2026-03-18,2027.63,2200,0.9782,FINAL,2026-03-19T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-001-2026-03-19,PLANT-001,2026-03-19,5975.91,6380,0.931,FINAL,2026-03-20T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-002-2026-03-19,PLANT-002,2026-03-19,9098.61,9240,0.9782,FINAL,2026-03-20T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-003-2026-03-19,PLANT-003,2026-03-19,3668.31,4312,0.955,FINAL,2026-03-20T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-004-2026-03-19,PLANT-004,2026-03-19,10389.3,10850,0.9942,FINAL,2026-03-20T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-005-2026-03-19,PLANT-005,2026-03-19,16844.49,19840,0.9579,FINAL,2026-03-20T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-006-2026-03-19,PLANT-006,2026-03-19,4833.26,5544,0.9765,FINAL,2026-03-20T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-007-2026-03-19,PLANT-007,2026-03-19,7987.42,8272,0.9298,FINAL,2026-03-20T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-008-2026-03-19,PLANT-008,2026-03-19,1985.65,2200,0.9382,FINAL,2026-03-20T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-001-2026-03-20,PLANT-001,2026-03-20,6616.07,6380,0.9901,FINAL,2026-03-21T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-002-2026-03-20,PLANT-002,2026-03-20,7641.33,9240,0.9223,FINAL,2026-03-21T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-003-2026-03-20,PLANT-003,2026-03-20,3553.55,4312,0.9134,FINAL,2026-03-21T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-004-2026-03-20,PLANT-004,2026-03-20,8893.85,10850,0.9241,FINAL,2026-03-21T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
