contract_id,customer_id,plant_id,consumer_unit_id,distributor_code,start_date,end_date,contracted_energy_kwh_month,discount_rate,status,source_updated_at,extracted_at,batch_id
CONTRACT-000065,CUST-000065,PLANT-001,UC-CPFL-500065,CPFL,2025-09-04,NULL,655.13,0.179,ACTIVE,2026-07-10T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000066,CUST-000066,PLANT-002,UC-CPFL-500066,CPFL,2025-09-05,NULL,336.84,0.1093,ACTIVE,2026-07-11T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000067,CUST-000067,PLANT-003,UC-CEMIG-500067,CEMIG,2025-09-06,NULL,849.28,0.1597,ACTIVE,2026-07-12T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000068,CUST-000068,PLANT-004,UC-CEMIG-500068,CEMIG,2025-09-07,NULL,626.3,0.1262,ACTIVE,2026-07-13T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000069,CUST-000069,PLANT-005,UC-COPEL-500069,COPEL,2025-09-08,NULL,349.52,0.1199,ACTIVE,2026-07-14T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000070,CUST-000070,PLANT-006,UC-COPEL-500070,COPEL,2025-09-09,NULL,778.8,0.1106,ACTIVE,2026-07-15T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000071,CUST-000071,PLANT-007,UC-EQUATORIAL_GO-500071,EQUATORIAL_GO,2025-09-10,NULL,907.34,0.1277,ACTIVE,2026-07-16T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000072,CUST-000072,PLANT-008,UC-ENERGISA_MS-500072,ENERGISA_MS,2025-09-11,NULL,329.11,0.1744,ACTIVE,2026-07-17T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000073,CUST-000073,PLANT-001,UC-CPFL-500073,CPFL,2025-09-12,NULL,882.94,0.1375,ACTIVE,2026-07-18T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000074,CUST-000074,PLANT-002,UC-CPFL-500074,CPFL,2025-09-13,NULL,407.73,0.1537,ACTIVE,2026-07-19T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000075,CUST-000075,PLANT-003,UC-CEMIG-500075,CEMIG,2025-09-14,NULL,908.81,0.1663,ACTIVE,2026-07-20T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000076,CUST-000076,PLANT-004,UC-CEMIG-500076,CEMIG,2025-09-15,NULL,448.44,0.1311,ACTIVE,2026-07-21T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000077,CUST-000077,PLANT-005,UC-COPEL-500077,COPEL,2025-09-16,NULL,927.55,0.1647,ACTIVE,2026-07-22T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000078,CUST-000078,PLANT-006,UC-COPEL-500078,COPEL,2025-09-17,NULL,647.24,0.147,ACTIVE,2026-07-23T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000079,CUST-000079,PLANT-007,UC-EQUATORIAL_GO-500079,EQUATORIAL_GO,2025-09-18,NULL,657.29,0.1912,ACTIVE,2026-07-24T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000080,CUST-000080,PLANT-008,UC-ENERGISA_MS-500080,ENERGISA_MS,2025-09-19,NULL,582.84,0.1897,ACTIVE,2026-07-25T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000081,CUST-000081,PLANT-001,UC-CPFL-500081,CPFL,2025-09-20,NULL,637.37,0.1506,ACTIVE,2026-07-26T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000082,CUST-000082,PLANT-002,UC-CPFL-500082,CPFL,2025-09-21,NULL,587.97,0.1653,ACTIVE,2026-07-27T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000083,CUST-000083,PLANT-003,UC-CEMIG-500083,CEMIG,2025-09-22,NULL,629.15,0.1175,ACTIVE,2026-07-28T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000084,CUST-000084,PLANT-004,UC-CEMIG-500084,CEMIG,2025-09-23,NULL,930.9,0.1814,ACTIVE,2026-07-01T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000085,CUST-000085,PLANT-005,UC-COPEL-500085,COPEL,2025-09-24,NULL,647.53,0.1449,ACTIVE,2026-07-02T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000086,CUST-000086,PLANT-006,UC-COPEL-500086,COPEL,2025-09-25,NULL,1148.19,0.1292,ACTIVE,2026-07-03T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000087,CUST-000087,PLANT-007,UC-EQUATORIAL_GO-500087,EQUATORIAL_GO,2025-09-26,NULL,630.49,0.1018,SUSPENDED,2026-07-04T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000088,CUST-000088,PLANT-008,UC-ENERGISA_MS-500088,ENERGISA_MS,2025-09-27,NULL,733.58,0.1118,ACTIVE,2026-07-05T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000089,CUST-000089,PLANT-001,UC-CPFL-500089,CPFL,2025-09-28,NULL,1068.98,0.1202,ACTIVE,2026-07-06T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000090,CUST-000090,PLANT-002,UC-CPFL-500090,CPFL,2025-09-29,NULL,774.26,0.177,ACTIVE,2026-07-07T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000091,CUST-000091,PLANT-003,UC-CEMIG-500091,CEMIG,2025-09-30,NULL,766.27,0.1431,ACTIVE,2026-07-08T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000092,CUST-000092,PLANT-004,UC-CEMIG-500092,CEMIG,2025-10-01,NULL,611.47,0.1089,ACTIVE,2026-07-09T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000093,CUST-000093,PLANT-005,UC-COPEL-500093,COPEL,2025-10-02,NULL,721.05,0.1725,ACTIVE,2026-07-10T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000094,CUST-000094,PLANT-006,UC-COPEL-500094,COPEL,2025-10-03,NULL,873.33,0.1097,ACTIVE,2026-07-11T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000095,CUST-000095,PLANT-007,UC-EQUATORIAL_GO-500095,EQUATORIAL_GO,2025-10-04,NULL,1066.26,0.1678,ACTIVE,2026-07-12T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000096,CUST-000096,PLANT-008,UC-ENERGISA_MS-500096,ENERGISA_MS,2025-10-05,NULL,377.6,0.1253,ACTIVE,2026-07-13T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000097,CUST-000097,PLANT-001,UC-CPFL-500097,CPFL,2025-10-06,NULL,779.27,0.184,ACTIVE,2026-07-14T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000098,CUST-000098,PLANT-002,UC-CPFL-500098,CPFL,2025-10-07,NULL,648.85,0.1411,ACTIVE,2026-07-15T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000099,CUST-000099,PLANT-003,UC-CEMIG-500099,CEMIG,2025-10-08,NULL,512.13,0.1543,ACTIVE,2026-07-16T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000100,CUST-000100,PLANT-004,UC-CEMIG-500100,CEMIG,2025-10-09,NULL,554.41,0.1616,ACTIVE,2026-07-17T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000101,CUST-000101,PLANT-005,UC-COPEL-500101,COPEL,2025-10-10,NULL,247.73,0.1212,ACTIVE,2026-07-18T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000102,CUST-000102,PLANT-006,UC-COPEL-500102,COPEL,2025-10-11,NULL,452.93,0.1243,ACTIVE,2026-07-19T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000103,CUST-000103,PLANT-007,UC-EQUATORIAL_GO-500103,EQUATORIAL_GO,2025-10-12,NULL,634.88,0.1962,ACTIVE,2026-07-20T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000104,CUST-000104,PLANT-008,UC-ENERGISA_MS-500104,ENERGISA_MS,2025-10-13,NULL,473.08,0.1223,ACTIVE,2026-07-21T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000105,CUST-000105,PLANT-001,UC-CPFL-500105,CPFL,2025-10-14,NULL,822.38,0.1518,ACTIVE,2026-07-22T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000106,CUST-000106,PLANT-002,UC-CPFL-500106,CPFL,2025-10-15,NULL,601.46,0.1331,ACTIVE,2026-07-23T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000107,CUST-000107,PLANT-003,UC-CEMIG-500107,CEMIG,2025-10-16,NULL,657.75,0.1663,ACTIVE,2026-07-24T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000108,CUST-000108,PLANT-004,UC-CEMIG-500108,CEMIG,2025-10-17,NULL,1163.36,0.1873,ACTIVE,2026-07-25T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000109,CUST-000109,PLANT-005,UC-COPEL-500109,COPEL,2025-10-18,NULL,555.11,0.1283,ACTIVE,2026-07-26T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000110,CUST-000110,PLANT-006,UC-COPEL-500110,COPEL,2025-10-19,NULL,265.35,0.1172,ACTIVE,2026-07-27T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000111,CUST-000111,PLANT-007,UC-EQUATORIAL_GO-500111,EQUATORIAL_GO,2025-10-20,NULL,745.42,0.1748,ACTIVE,2026-07-28T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000112,CUST-000112,PLANT-008,UC-ENERGISA_MS-500112,ENERGISA_MS,2025-10-21,NULL,229.2,0.192,ACTIVE,2026-07-01T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000113,CUST-000113,PLANT-001,UC-CPFL-500113,CPFL,2025-10-22,NULL,428.85,0.12,ACTIVE,2026-07-02T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000114,CUST-000114,PLANT-002,UC-CPFL-500114,CPFL,2025-10-23,NULL,224.09,0.1212,ACTIVE,2026-07-03T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000115,CUST-000115,PLANT-003,UC-CEMIG-500115,CEMIG,2025-10-24,NULL,927.64,0.1906,ACTIVE,2026-07-04T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000116,CUST-000116,PLANT-004,UC-CEMIG-500116,CEMIG,2025-10-25,NULL,919.86,0.107,SUSPENDED,2026-07-05T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000117,CUST-000117,PLANT-005,UC-COPEL-500117,COPEL,2025-10-26,NULL,291.91,0.1467,ACTIVE,2026-07-06T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000118,CUST-000118,PLANT-006,UC-COPEL-500118,COPEL,2025-10-27,NULL,1135.92,0.1318,ACTIVE,2026-07-07T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000119,CUST-000119,PLANT-007,UC-EQUATORIAL_GO-500119,EQUATORIAL_GO,2025-10-28,NULL,262.1,0.1984,ACTIVE,2026-07-08T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000120,CUST-000120,PLANT-008,UC-ENERGISA_MS-500120,ENERGISA_MS,2025-10-29,NULL,837.2,0.1184,ACTIVE,2026-07-09T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000121,CUST-000001,PLANT-001,UC-CPFL-500121,CPFL,2025-10-30,NULL,710.9,0.111,ACTIVE,2026-07-10T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000122,CUST-000002,PLANT-002,UC-CPFL-500122,CPFL,2025-10-31,NULL,983.58,0.1658,ACTIVE,2026-07-11T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000123,CUST-000003,PLANT-003,UC-CEMIG-500123,CEMIG,2025-11-01,NULL,358.94,0.1758,ACTIVE,2026-07-12T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000124,CUST-000004,PLANT-004,UC-CEMIG-500124,CEMIG,2025-11-02,NULL,885.24,0.1012,ACTIVE,2026-07-13T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000125,CUST-000005,PLANT-005,UC-COPEL-500125,COPEL,2025-11-03,NULL,255.72,0.1887,ACTIVE,2026-07-14T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000126,CUST-000006,PLANT-006,UC-COPEL-500126,COPEL,2025-11-04,NULL,985.59,0.1426,ACTIVE,2026-07-15T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
