invoice_id,contract_id,reference_month,issue_date,due_date,energy_consumed_kwh,energy_compensated_kwh,gross_amount_brl,discount_amount_brl,net_amount_brl,status,paid_at,source_updated_at,extracted_at,batch_id
INV-000021,CONTRACT-000021,2026-03-01,2026-04-02,2026-04-12,483.51,456.93,509.5,51.61,457.89,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000022,CONTRACT-000022,2026-03-01,2026-04-02,2026-04-12,715.91,715.91,727.96,114.58,613.38,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000023,CONTRACT-000023,2026-03-01,2026-04-02,2026-04-12,446.99,329.4,475.17,62.01,413.16,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000024,CONTRACT-000024,2026-03-01,2026-04-02,2026-04-12,278.95,204.71,317.21,59.92,257.29,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000025,CONTRACT-000025,2026-03-01,2026-04-02,2026-04-12,1236.61,960.57,1217.41,151.32,1066.09,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000026,CONTRACT-000026,2026-03-01,2026-04-02,2026-04-12,591.21,509.21,610.74,87.34,523.4,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000027,CONTRACT-000027,2026-03-01,2026-04-02,2026-04-12,665.19,592.44,680.28,109.32,570.96,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000028,CONTRACT-000028,2026-03-01,2026-04-02,2026-04-12,733.19,627.91,744.2,117.43,626.77,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000029,CONTRACT-000029,2026-03-01,2026-04-02,2026-04-12,763.45,678.96,772.64,93.18,679.46,OPEN,NULL,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000030,CONTRACT-000030,2026-03-01,2026-04-02,2026-04-12,966.36,686.19,963.38,137.86,825.52,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000031,CONTRACT-000031,2026-03-01,2026-04-02,2026-04-12,623.43,623.43,641.02,107.5,533.52,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000032,CONTRACT-000032,2026-03-01,2026-04-02,2026-04-12,732.67,624.42,743.71,110.07,633.64,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000033,CONTRACT-000033,2026-03-01,2026-04-02,2026-04-12,1256.15,903.78,1235.78,216.26,1019.52,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000034,CONTRACT-000034,2026-03-01,2026-04-02,2026-04-12,974.39,637.88,970.93,118.45,852.48,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000035,CONTRACT-000035,2026-03-01,2026-04-02,2026-04-12,476.19,415.55,502.62,73.48,429.14,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000036,CONTRACT-000036,2026-03-01,2026-04-02,2026-04-12,1164.19,960.39,1149.34,224.01,925.33,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000037,CONTRACT-000037,2026-03-01,2026-04-02,2026-04-12,860.48,604.17,863.85,171.04,692.81,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000038,CONTRACT-000038,2026-03-01,2026-04-02,2026-04-12,585.27,516.2,605.15,86.05,519.1,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000039,CONTRACT-000039,2026-03-01,2026-04-02,2026-04-12,323.79,238.04,359.36,46.18,313.18,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000040,CONTRACT-000040,2026-03-01,2026-04-02,2026-04-12,525.77,372.57,549.22,106.16,443.06,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000041,CONTRACT-000041,2026-03-01,2026-04-02,2026-04-12,814.44,710.82,820.57,132.93,687.64,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000042,CONTRACT-000042,2026-03-01,2026-04-02,2026-04-12,667.43,572.36,682.38,122.9,559.48,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000043,CONTRACT-000043,2026-03-01,2026-04-02,2026-04-12,715.07,690.92,727.17,136.71,590.46,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000044,CONTRACT-000044,2026-03-01,2026-04-02,2026-04-12,580.04,531.49,600.24,100.66,499.58,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000045,CONTRACT-000045,2026-03-01,2026-04-02,2026-04-12,1003.25,940.22,998.05,160.29,837.76,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000046,CONTRACT-000046,2026-03-01,2026-04-02,2026-04-12,913.25,861.63,913.45,170.18,743.27,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000047,CONTRACT-000047,2026-03-01,2026-04-02,2026-04-12,916.7,811.21,916.7,123.02,793.68,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000048,CONTRACT-000048,2026-03-01,2026-04-02,2026-04-12,738.83,575.54,749.5,109.28,640.22,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000049,CONTRACT-000049,2026-03-01,2026-04-02,2026-04-12,509.47,367.84,533.9,60.54,473.36,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000050,CONTRACT-000050,2026-03-01,2026-04-02,2026-04-12,752.14,671.56,762.01,145.39,616.62,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000051,CONTRACT-000051,2026-03-01,2026-04-02,2026-04-12,1031.09,843.35,1024.22,106.62,917.6,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000052,CONTRACT-000052,2026-03-01,2026-04-02,2026-04-12,516.49,490.1,540.5,55.83,484.67,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000053,CONTRACT-000053,2026-03-01,2026-04-02,2026-04-12,1182.13,880.96,1166.2,200.12,966.08,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000054,CONTRACT-000054,2026-03-01,2026-04-02,2026-04-12,332.34,270.73,367.4,49.27,318.13,OPEN,NULL,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000055,CONTRACT-000055,2026-03-01,2026-04-02,2026-04-12,296.3,208.96,333.52,64.84,268.68,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000056,CONTRACT-000056,2026-03-01,2026-04-02,2026-04-12,876,654.31,878.44,160.32,718.12,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000057,CONTRACT-000057,2026-03-01,2026-04-02,2026-04-12,235.25,233.06,276.13,51.91,224.22,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000058,CONTRACT-000058,2026-03-01,2026-04-02,2026-04-12,768.53,669.16,777.42,124.23,653.19,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000059,CONTRACT-000059,2026-03-01,2026-04-02,2026-04-12,1174.34,1081.14,1158.88,163.63,995.25,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000060,CONTRACT-000060,2026-03-01,2026-04-02,2026-04-12,1016.38,959.69,1010.4,126.5,883.9,OPEN,NULL,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000061,CONTRACT-000061,2026-03-01,2026-04-02,2026-04-12,922.68,922.68,922.32,109.66,812.66,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000062,CONTRACT-000062,2026-03-01,2026-04-02,2026-04-12,852.86,695.86,856.69,170.4,686.29,OPEN,NULL,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000063,CONTRACT-000063,2026-03-01,2026-04-02,2026-04-12,630.21,473.73,647.4,87.66,559.74,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000064,CONTRACT-000064,2026-03-01,2026-04-02,2026-04-12,573.76,411.51,594.33,87.72,506.61,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000065,CONTRACT-000065,2026-03-01,2026-04-02,2026-04-12,626.64,550.1,644.04,115.28,528.76,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000066,CONTRACT-000066,2026-03-01,2026-04-02,2026-04-12,287.34,287.34,325.1,35.53,289.57,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000067,CONTRACT-000067,2026-03-01,2026-04-02,2026-04-12,704.79,659.2,717.5,114.58,602.92,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000068,CONTRACT-000068,2026-03-01,2026-04-02,2026-04-12,574.65,455.18,595.17,75.11,520.06,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000069,CONTRACT-000069,2026-03-01,2026-04-02,2026-04-12,393.31,274,424.71,50.92,373.79,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000070,CONTRACT-000070,2026-03-01,2026-04-02,2026-04-12,662.71,662.71,677.95,74.98,602.97,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000071,CONTRACT-000071,2026-03-01,2026-04-02,2026-04-12,936.42,670.24,935.23,119.43,815.8,OPEN,NULL,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000072,CONTRACT-000072,2026-03-01,2026-04-02,2026-04-12,361.37,297.57,394.69,68.83,325.86,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000073,CONTRACT-000073,2026-03-01,2026-04-02,2026-04-12,774.53,762.81,783.06,107.67,675.39,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000074,CONTRACT-000074,2026-03-01,2026-04-02,2026-04-12,427.23,365.11,456.6,70.18,386.42,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000075,CONTRACT-000075,2026-03-01,2026-04-02,2026-04-12,828.77,659.32,834.04,138.7,695.34,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000076,CONTRACT-000076,2026-03-01,2026-04-02,2026-04-12,397.21,351.54,428.38,56.16,372.22,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000077,CONTRACT-000077,2026-03-01,2026-04-02,2026-04-12,861.74,683.03,865.04,142.47,722.57,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000078,CONTRACT-000078,2026-03-01,2026-04-02,2026-04-12,601.77,543.98,620.66,91.24,529.42,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000079,CONTRACT-000079,2026-03-01,2026-04-02,2026-04-12,708.38,544.77,720.88,137.83,583.05,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000080,CONTRACT-000080,2026-03-01,2026-04-02,2026-04-12,500.58,500.58,525.55,99.7,425.85,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000081,CONTRACT-000081,2026-03-01,2026-04-02,2026-04-12,745.69,502.91,755.95,113.85,642.1,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000082,CONTRACT-000082,2026-03-01,2026-04-02,2026-04-12,492.13,434.91,517.6,85.56,432.04,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000083,CONTRACT-000083,2026-03-01,2026-04-02,2026-04-12,662.89,575.56,678.12,79.68,598.44,OPEN,NULL,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000084,CONTRACT-000084,2026-03-01,2026-04-02,2026-04-12,859.2,735.15,862.65,156.48,706.17,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000085,CONTRACT-000085,2026-03-01,2026-04-02,2026-04-12,737.28,580.48,748.04,108.39,639.65,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000086,CONTRACT-000086,2026-03-01,2026-04-02,2026-04-12,962.48,953.75,959.73,124,835.73,OPEN,NULL,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000087,CONTRACT-000087,2026-03-01,2026-04-02,2026-04-12,532.75,460.39,555.78,56.58,499.2,OPEN,NULL,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000088,CONTRACT-000088,2026-03-01,2026-04-02,2026-04-12,653.87,633.58,669.64,74.87,594.77,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000089,CONTRACT-000089,2026-03-01,2026-04-02,2026-04-12,938.97,892.44,937.63,112.7,824.93,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000090,CONTRACT-000090,2026-03-01,2026-04-02,2026-04-12,821.01,622.61,826.75,146.33,680.42,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000091,CONTRACT-000091,2026-03-01,2026-04-02,2026-04-12,861.46,607.39,864.77,123.75,741.02,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000092,CONTRACT-000092,2026-03-01,2026-04-02,2026-04-12,666.19,560.18,681.22,74.18,607.04,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000093,CONTRACT-000093,2026-03-01,2026-04-02,2026-04-12,663.05,520.84,678.27,117,561.27,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000094,CONTRACT-000094,2026-03-01,2026-04-02,2026-04-12,920.54,679.94,920.31,100.96,819.35,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000095,CONTRACT-000095,2026-03-01,2026-04-02,2026-04-12,1065.62,979.31,1056.68,177.31,879.37,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000096,CONTRACT-000096,2026-03-01,2026-04-02,2026-04-12,431.4,314.4,460.52,57.7,402.82,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000097,CONTRACT-000097,2026-03-01,2026-04-02,2026-04-12,904.93,581.15,905.63,166.64,738.99,OPEN,NULL,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000098,CONTRACT-000098,2026-03-01,2026-04-02,2026-04-12,717.93,576.55,729.85,102.98,626.87,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000099,CONTRACT-000099,2026-03-01,2026-04-02,2026-04-12,423.99,423.99,453.55,69.98,383.57,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000100,CONTRACT-000100,2026-03-01,2026-04-02,2026-04-12,516.5,443.08,540.51,87.35,453.16,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000101,CONTRACT-000101,2026-03-01,2026-04-02,2026-04-12,289.9,208.99,327.51,39.69,287.82,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000102,CONTRACT-000102,2026-03-01,2026-04-02,2026-04-12,533.27,334.44,556.27,69.14,487.13,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000103,CONTRACT-000103,2026-03-01,2026-04-02,2026-04-12,580.94,571.73,601.08,117.93,483.15,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000104,CONTRACT-000104,2026-03-01,2026-04-02,2026-04-12,493.32,348.81,518.72,63.44,455.28,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000105,CONTRACT-000105,2026-03-01,2026-04-02,2026-04-12,760.92,633.47,770.26,116.93,653.33,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000106,CONTRACT-000106,2026-03-01,2026-04-02,2026-04-12,545.41,440.45,567.69,75.56,492.13,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000107,CONTRACT-000107,2026-03-01,2026-04-02,2026-04-12,683.51,524.68,697.5,115.99,581.51,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000108,CONTRACT-000108,2026-03-01,2026-04-02,2026-04-12,1065.69,917.37,1056.75,197.93,858.82,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000109,CONTRACT-000109,2026-03-01,2026-04-02,2026-04-12,624.19,454.6,641.74,82.34,559.4,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000110,CONTRACT-000110,2026-03-01,2026-04-02,2026-04-12,241.25,227.49,281.77,33.02,248.75,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000111,CONTRACT-000111,2026-03-01,2026-04-02,2026-04-12,755.26,650.19,764.94,133.71,631.23,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000112,CONTRACT-000112,2026-03-01,2026-04-02,2026-04-12,224.02,173.12,265.58,50.99,214.59,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000113,CONTRACT-000113,2026-03-01,2026-04-02,2026-04-12,477.68,320.33,504.02,60.48,443.54,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000114,CONTRACT-000114,2026-03-01,2026-04-02,2026-04-12,211.49,196.16,253.8,30.76,223.04,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000115,CONTRACT-000115,2026-03-01,2026-04-02,2026-04-12,945.4,691.86,943.68,179.87,763.81,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000116,CONTRACT-000116,2026-03-01,2026-04-02,2026-04-12,1059.77,814.76,1051.18,112.48,938.7,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000117,CONTRACT-000117,2026-03-01,2026-04-02,2026-04-12,331.03,264.98,366.17,53.72,312.45,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000118,CONTRACT-000118,2026-03-01,2026-04-02,2026-04-12,962.52,936.67,959.77,126.5,833.27,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000119,CONTRACT-000119,2026-03-01,2026-04-02,2026-04-12,300.82,190.07,337.77,67.01,270.76,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000120,CONTRACT-000120,2026-03-01,2026-04-02,2026-04-12,714.25,681.54,726.39,86,640.39,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
